epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.94038756298281,6.929517476654053,0.14,0.51
1,6.897699702129548,6.780547601318359,0.56,2.15
2,6.7790513822337735,6.627613916778564,0.84,3.09
3,6.6932315363319095,6.547055741882324,1.03,3.67
4,6.60196727775077,6.442028160095215,1.35,4.73
5,6.525988204756567,6.351378464508056,1.66,5.53
6,6.440846312389557,6.265208979797364,1.76,6.51
7,6.356533695819411,6.15225016784668,2.19,7.66
8,6.292272904639311,6.069549415588379,2.83,8.88
9,6.217431313709109,6.121619024658203,2.39,8.14
10,6.153115800248902,6.075879243469238,2.47,8.25
11,6.0861848909547005,5.807539519500732,3.78,11.41
12,6.0237959019020755,5.824905358886719,3.94,11.44
13,5.963740178844081,5.699275422668457,4.16,13.04
14,5.909340322081282,5.716663404083252,4.06,12.26
15,5.84985893233227,5.587378533172608,5.24,14.78
16,5.804966615638204,5.489427659606934,5.46,16.61
17,5.745600980272161,5.4598664306640625,5.71,17.1
18,5.68873223118492,5.4093824470520016,6.28,17.57
19,5.633668907678496,5.357674281311035,7.08,19.03
20,5.585616115317655,5.273813856506347,7.24,20.24
21,5.53310344516913,5.256606918334961,7.41,20.26
22,5.48258981684356,5.265909105682373,8.1,20.56
23,5.431753941762918,5.276825244140625,7.3,20.69
24,5.374387946683544,5.156180710601807,8.51,22.37
25,5.329567448179394,5.171225215148926,8.59,22.27
26,5.266776473697756,5.02690923538208,9.28,24.56
27,5.22655623954032,4.925157635498047,10.37,25.9
28,5.17408385373485,4.983224373626709,10.17,25.77
29,5.124098124855228,4.929625232696533,10.94,26.69
30,4.844146525465437,4.644160095977783,14.28,31.75
31,4.773751173355282,4.61818193359375,14.57,32.82
32,4.750006807524723,4.604061368560791,14.93,32.64
33,4.724552468276457,4.586192055511475,15.1,33.14
34,4.698862248321989,4.590494487762451,14.66,32.94
35,4.686784832810898,4.557512296295166,15.21,33.57
36,4.677653488507266,4.553919067382813,15.25,33.88
37,4.651177437862693,4.550890231323242,15.43,33.59
38,4.643772761620732,4.548229755401612,15.39,33.56
39,4.627745836750548,4.530843172454834,15.55,34.13
40,4.614256661882268,4.526967203521728,15.7,34.22
41,4.595694031506745,4.527573015594482,15.56,34.05
42,4.591179024575233,4.503588976287841,15.95,34.33
43,4.570312115018879,4.50330743560791,15.85,34.07
44,4.554802996371828,4.514131786346436,15.65,34.2
45,4.5452943143366245,4.4951355857849125,15.43,34.29
46,4.530886589017723,4.488440133666992,16.05,34.78
47,4.517489354409428,4.479634719085693,15.98,34.79
48,4.4936444624511,4.4563139602661135,16.31,35.36
49,4.499068573164966,4.469496656799317,15.99,35.11
50,4.4764346699831705,4.447968273162842,16.57,35.3
51,4.45677640522048,4.458076737976074,16.19,35.29
52,4.455976491040583,4.45897706451416,16.53,35.4
53,4.430533907329514,4.447052558898926,16.56,35.61
54,4.428324288975849,4.426830564880371,16.69,35.61
55,4.405539024601369,4.408956327056885,16.82,35.81
56,4.394691179503499,4.4242239128112795,16.52,35.61
57,4.382576185712947,4.400466104888916,16.78,36.44
58,4.370750861590293,4.409632544708252,16.88,36.25
59,4.349914457652968,4.406481038665771,16.87,36.04
60,4.275508834305542,4.353766300201416,17.57,37.2
61,4.259550967109623,4.351082750701904,17.79,37.51
62,4.246908031634613,4.346807846069336,17.71,37.55
63,4.235371877696751,4.353175997161865,17.65,37.39
64,4.250218974615238,4.343684860229493,17.68,37.51
65,4.233368426020652,4.339154616546631,17.82,37.68
66,4.242879667302461,4.335926588439942,17.87,37.46
67,4.237209256456145,4.347686212921142,17.65,37.18
68,4.2315564672109796,4.344688033294678,17.56,37.39
69,4.236658193004042,4.341353833770752,17.86,37.48
70,4.229290783341692,4.329734568786621,17.78,37.53
71,4.219028746178463,4.339727305603027,17.94,37.37
72,4.222315829489758,4.3433700370788575,17.87,37.61
73,4.22988322882922,4.331948578643799,17.77,37.7
74,4.216547570844343,4.337819062805176,17.76,37.49
75,4.2246324298475955,4.328409351348877,17.91,37.72
76,4.203724260645717,4.337467081451416,17.63,37.35
77,4.2208816526793616,4.339384662628174,17.81,37.32
78,4.212859472571976,4.341018466949463,17.72,37.73
79,4.216678850424328,4.336677870941162,17.73,37.47
80,4.2175439879886625,4.323245430755615,18.11,37.69
81,4.19690384656159,4.330560915374756,18.07,37.68
82,4.198429499008358,4.337105416107177,17.83,37.47
83,4.200133825951477,4.324683186340332,17.95,37.86
84,4.201614759520507,4.32413547668457,18.12,37.78
85,4.193194686030629,4.3336283203125,17.67,37.73
86,4.1918135938674945,4.324517784881592,17.96,37.79
87,4.188199980409067,4.3284255828857425,18.0,37.65
88,4.19389400410932,4.325602998352051,18.13,37.83
89,4.1908634937941835,4.319124414825439,18.07,37.69
90,4.1745047821179275,4.326372419738769,17.75,37.75
91,4.173846565926469,4.3255343338012695,17.84,37.77
92,4.174254090452652,4.324612985229492,17.71,37.54
93,4.178271703557246,4.323207778930664,17.8,37.83
94,4.171790574632561,4.334094023895264,17.84,37.55
95,4.17736683253163,4.320129294586182,18.04,37.88
96,4.172304271252203,4.321120752716064,18.1,37.79
97,4.1702885212994945,4.311729096984863,17.92,38.15
98,4.171705138085365,4.321692308044433,17.92,37.63
99,4.170239367378178,4.317278589630127,17.89,37.93
100,4.1802323638056995,4.320167838287354,17.94,38.04
101,4.17759562047594,4.315899838256836,18.15,37.73
102,4.174101491366278,4.312624977874756,18.02,37.9
103,4.167565754154576,4.318974993896484,17.88,37.96
104,4.17703787290681,4.321505098724365,17.88,37.88
105,4.1671099721304,4.324980672454834,17.85,37.78
106,4.167600595327681,4.313267925262451,18.08,38.11
107,4.1599110742770495,4.324402719116211,17.8,37.77
108,4.166795616088835,4.32593194732666,17.87,37.41
109,4.157393764660733,4.324595849609375,17.91,37.91
110,4.175619016716549,4.322748645019531,17.92,37.65
111,4.1764024993526006,4.3232615859985355,17.97,37.76
112,4.164405518941971,4.316998354339599,18.03,38.09
113,4.164881887659828,4.320227339935303,17.86,37.64
114,4.161401015590069,4.324547992706298,17.77,37.73
115,4.167919705746141,4.311986015319825,17.99,37.89
116,4.166205849438874,4.317119822692871,17.96,37.9
117,4.166642897920394,4.315093037414551,18.0,38.0
