epoch,train_loss,eval_loss,eval_top1,eval_top5
118,4.170689692746613,4.317123651885987,17.97,37.75
119,4.169555929707107,4.325149617767334,18.13,37.65
120,4.168636149250711,4.321950509643555,17.96,37.76
121,4.158763783464055,4.334508737945557,17.89,37.83
122,4.163289779278359,4.325454661560059,17.91,37.59
123,4.170424604619453,4.321350733184815,18.01,37.83
124,4.158696833135224,4.314242249298096,18.08,37.82
125,4.159440713605606,4.317817867279053,17.91,37.94
126,4.171792037967938,4.317456554412842,18.15,37.83
127,4.156817699827278,4.314407084655762,17.85,37.97
128,4.156512567302333,4.315542094421387,18.05,38.04
129,4.168184565887126,4.31633215637207,18.0,37.91
130,4.1619949450233324,4.317585112762451,18.0,37.84
131,4.1691771810566225,4.320640641784668,18.09,37.74
132,4.1628066521444085,4.323266321563721,17.86,37.7
133,4.165467950043327,4.3202792770385745,18.17,37.76
134,4.158100442927064,4.319623295593262,17.93,37.89
135,4.168901280888625,4.319912200927734,18.03,37.65
136,4.165594015966231,4.305650454711914,18.12,37.91
137,4.1642292695976755,4.30886971282959,17.88,37.96
138,4.160219117188021,4.31545433883667,18.08,37.71
139,4.160858192973102,4.324962878417969,18.04,37.85
140,4.171569932359514,4.311839987182617,17.96,38.19
141,4.15609707038456,4.313434384918213,17.93,38.03
142,4.173511121926975,4.318166072845459,17.84,37.82
143,4.173293034574901,4.318157414245605,18.08,38.06
144,4.16881970458504,4.326506486511231,17.84,37.68
145,4.168731475207188,4.319488634490967,18.03,37.89
146,4.159105244670123,4.324416953277588,18.04,37.94
147,4.175113673652885,4.319173854064942,18.0,37.87
148,4.174657606900438,4.316864604187011,17.91,37.81
149,4.163091252173278,4.3231824684143065,17.87,37.74
150,4.161893769033181,4.32083757019043,18.08,37.94
151,4.1546919310232875,4.321039933776856,17.91,37.93
152,4.166707569405261,4.326407550811767,17.9,37.87
153,4.160533449820291,4.311486354827881,17.99,37.96
154,4.168023485256997,4.317510685729981,17.98,37.76
155,4.162417145650695,4.315205574798584,18.03,37.81
156,4.175954609823075,4.32300216140747,17.85,37.85
157,4.166967867532687,4.320003819274902,18.05,37.99
158,4.173820827406779,4.327187678527832,18.06,37.85
159,4.166276749068416,4.310263279724121,18.07,37.86
160,4.170047119561993,4.320036685943603,18.09,37.68
161,4.164341239562793,4.323475579071045,17.85,37.67
162,4.16481034605582,4.316564456939697,17.95,38.0
163,4.163514691966575,4.314493852996826,17.95,37.64
164,4.168974134939839,4.330305675506592,17.92,37.75
165,4.163709764673972,4.323049546813965,17.94,37.96
166,4.169656157875265,4.3229541488647465,18.08,37.76
167,4.164102285877745,4.322649674224854,17.99,37.92
168,4.1740819700499605,4.322623550415039,17.83,37.93
169,4.166497847568263,4.3156807922363285,18.09,37.85
170,4.16173171386393,4.327135614776611,17.97,37.78
171,4.165544539149314,4.326408242034912,17.83,37.89
172,4.162649206061755,4.324637239074707,18.04,37.78
173,4.164392913800039,4.316384288787842,18.0,38.05
174,4.158224786485654,4.31335124206543,18.06,37.97
175,4.1631478678073295,4.313788007354736,17.92,38.04
176,4.168497292183761,4.326811450195312,17.95,37.84
177,4.158677649981438,4.324072841644287,17.76,37.73
178,4.161020233638768,4.321168753051758,18.06,37.82
179,4.168364387438926,4.318615454864502,18.0,38.05
180,4.158624323607763,4.320016963195801,17.85,38.1
181,4.168777362514077,4.3180170875549315,17.9,37.72
182,4.1575159901870355,4.3092787590026855,17.94,38.09
183,4.162957005465171,4.315738008880615,18.14,37.92
184,4.17356335493391,4.3221020469665525,18.07,37.73
185,4.158979502660615,4.32511492767334,17.93,37.76
186,4.15453806121932,4.319032180023194,17.95,37.89
187,4.164660599341133,4.31829942703247,18.02,37.98
188,4.159317710738045,4.316330485534668,17.97,37.8
189,4.172200904966291,4.31462896270752,17.79,37.93
190,4.170534808963951,4.316683933258057,17.97,37.93
191,4.1703275657132695,4.325634268951416,17.92,37.79
192,4.168975478684254,4.322456747436523,17.95,37.84
193,4.162999149320474,4.3157516288757325,17.97,37.75
194,4.169691754507026,4.3134808952331545,17.96,37.67
195,4.163178385131006,4.32614654083252,17.97,37.71
196,4.163362519336484,4.3192376731872555,17.82,37.72
197,4.161877069809139,4.319294142150879,18.03,37.79
198,4.1630360184509705,4.314401329040527,18.04,37.71
199,4.172269483004461,4.317065190124512,18.08,37.84
